ANT1,139.55,39.86,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,135.32,29.45,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,111.63,27.11,90.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,131.33,33.42,180.00,,NORDIC_NRF_3_RESC0201_L
C11,134.82,33.06,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,126.17,34.51,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,132.36,33.70,270.00,,NORDIC_NRF_3_RESC0201_L
C14,123.35,19.35,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C15,130.32,34.59,90.00,1.0µF,NORDIC_NRF_3_RESC0402_L
C16,131.51,34.60,90.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,116.34,25.46,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,118.88,28.61,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,122.24,21.22,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,134.74,33.79,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR1,103.97,11.47,180.30,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,129.40,22.90,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C21,123.34,28.59,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C22,139.96,33.53,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,130.02,21.46,89.80,0.1uF,NORDIC_NRF_3_RESC0201_L
C24,128.82,19.48,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,134.77,23.87,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,125.27,12.82,270.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C29,132.05,13.90,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,137.69,33.55,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,110.40,14.10,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,120.83,13.60,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,120.31,19.41,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,124.79,20.62,270.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,113.73,26.52,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,127.89,20.59,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
